R_death_2018,Less than a high school diploma 2014-18,Employed_2018,anycondition_prevalence,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,Internal Medicine Primary Care (2019),POP_ESTIMATE_2018,Civilian_labor_force_2018,Family Medicine/General Practice Primary Care (2019),R_birth_2018,Total Specialist Physicians (2019),30-39,60-69,Asian-alone pop,80+,CI90LBINC_2018,anycondition_number,40-49,Obesity_prevalence,Heart disease_prevalence,Some college or associate's degree 2014-18,Median_Household_Income_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),70-79,Active General Surgeons per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),High school diploma only 2014-18,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Two or more races pop,19-Oct,Total nurse practitioners (2019),R_INTERNATIONAL_MIG_2018,COPD_prevalence,diabetes_prevalence,Bachelor's degree or higher 2014-18,N_POP_CHG_2018,Unemployed_2018,50-59,R_NET_MIG_2018,GQ_ESTIMATES_2018,CI90UBINC_2018,R_DOMESTIC_MIG_2018,COPD_number,Population Aged 60+,Total physician assistants (2019),CKD_prevalence,Native American/American Indian-alone pop,Hawaiian/Pacific Islander-alone pop,0-9,Black-alone pop,county_pop2018_18 and older,White-alone pop,Heart disease_number,20-29,diabetes_number,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),CKD_number
6.9,4672,53047,38.4,5.8,16.2,78.88531373,104143,55487,49.48416633,10.2,174.7884726,12642,9829,2944,3234,59423,31419,10987,31.8,5.7,21811,63274,87.2,5528,7.0,99.6,15626,240.5,2092,15441,40.56655393,82,6.6,8.5,19254,-8,2440,11847,100,5645,67125,217,5393,16887,20.36910183,2.5,479,88,12115,8391,81851,90149,4633,22520,6990,284.4,1.528500017,2055
12.5,2145,7409,53.5,6.3,29.9,7.795602678,15631,7643,6.84317382,7.1,21.56636598,1567,2451,31,941,34478,6969,1998,38.7,10.7,3596,37550,81.7,1690,7.3,90.3,4745,231.8,183,1537,8.217680978,9,11.7,14.6,1495,-46,234,2400,145,1068,40622,214,1519,4703,3.857428632,4.0,51,5,1370,889,13019,14472,1398,1677,1902,263.2,0.176171812,520
8.8,7391,78810,41.3,7.1,22.3,113.6212036,167995,82136,77.69241423,10.5,327.4118722,20965,20695,5342,7053,64174,55089,18342,31.9,7.0,33323,68380,83.7,12336,8.3,93.7,27141,248.6,5164,21878,86.78958371,44,7.5,11.0,43370,1216,3326,22123,222,8225,72586,133,10057,36821,32.13470925,2.8,571,162,18983,12196,133324,144560,9308,25620,14599,292.7,2.788074059,3692
12.3,3564,15549,48.3,5.4,25.0,14.34941343,37924,16152,12.70042006,10.4,44.78972526,4529,4788,306,1865,42857,14261,4365,36.2,8.9,8006,47097,66.5,3398,6.2,72.9,9180,199.9,678,5257,13.08095699,5,8.6,13.5,4972,54,603,4990,194,1670,51337,44,2554,9428,7.720407242,3.5,325,30,4226,1545,29524,35040,2631,4506,3997,224.8,0.691044496,1028
9.2,65724,470411,47.0,6.0,18.8,517.2628097,950181,487844,369.3778408,13.8,1298.309578,140516,103802,48120,29302,53894,345486,113954,33.9,7.1,204368,55733,80.1,57898,6.9,86.8,175335,240.7,28365,111623,551.3901102,60,8.1,13.4,183280,12539,17433,123767,162,20814,57572,66,59738,171837,271.8139111,3.1,4301,1158,124557,290505,735505,577732,52448,144762,98334,265.2,9.680554525,22635
10.6,1843,7338,49.6,5.4,25.4,6.539797006,17284,7655,5.788262323,12.4,20.41307909,2039,2241,136,830,40865,6514,1924,39.3,8.9,3540,44917,66.5,1457,6.2,72.9,4179,199.9,288,2252,5.961693403,32,8.7,14.7,1839,99,317,2249,115,198,48969,232,1147,4255,3.51860349,3.7,176,12,2283,3504,13134,13168,1174,2009,1929,224.8,0.314946025,480
13.5,3535,9609,60.4,6.7,22.8,9.756803046,24715,10130,9.078212842,11.5,27.97943265,3052,3067,98,1206,32678,11465,2992,43.5,10.8,4680,36408,61.2,1957,7.1,65.9,6761,174.8,287,3164,17.26267273,2,12.2,17.0,2071,-388,521,3215,419,729,40138,399,2323,5805,0.88547746,4.2,67,12,3052,7833,18997,16418,2052,3010,3226,191.3,0.819273538,803
10.0,299,2602,40.1,9.4,27.7,1.933877747,5972,2712,3.299959993,14.4,6.476241757,666,814,23,368,38198,1822,594,30.5,8.7,1372,42890,88.0,478,9.8,91.5,1379,236.2,167,766,2.833355769,35,8.2,12.4,1004,-8,110,793,380,645,47582,3,370,1684,2.198099416,3.6,856,5,819,20,4540,4901,396,674,562,247.1,0.314817308,162
11.6,3212,9033,54.1,6.7,22.3,8.683021768,21995,9443,8.079113553,12.0,24.90016675,2536,2492,61,766,35749,8994,2698,38.1,9.1,3760,39833,61.2,1689,7.1,65.9,5155,174.8,346,3100,15.3628358,46,10.8,14.4,2225,53,410,2981,131,337,43917,44,1787,4899,0.788026573,3.5,95,6,2843,3739,16617,17748,1517,2890,2386,191.3,0.729108698,589
10.6,850,4954,48.9,6.3,23.8,6.130367952,9855,5099,4.401124827,10.9,17.47742005,1081,1168,45,501,44098,3756,1023,36.5,8.5,1771,48179,79.0,824,7.0,86.6,2995,236.3,170,1409,5.496580239,12,10.0,12.1,912,-109,145,1330,106,788,52260,377,766,2396,1.06971784,3.2,49,8,1140,311,7682,9272,657,1379,933,273.1,0.196248987,247
